sensor_a,sensor_b,mean_diff_db,iqr_diff_db,quiet55_diff,high65_diff,high70_diff,substantial_dynamic_difference
A002,A054,0.3004365441300436,0.2580000000000026,0.0548732307487887,0.0063212504426128,0.0235018778059485,False
A002,A055,0.7843047872112479,5.730000000000004,0.1421625983077607,0.0237281524064446,0.145450172688197,True
A003,A004,0.944734223130638,2.000999999999996,0.0108860470094795,0.0229197405312831,0.0246490309412912,False
A003,A010,0.1362036574038541,3.927999999999996,0.0281337441002688,0.0701715885798616,0.0250679776323291,True
A003,A011,0.8644792931186842,3.475999999999992,0.0077793844854561,0.1277284722452891,0.0308378666731682,True
A003,A012,0.5877903151431525,0.9010000000000052,0.0452656951226343,0.0013609939576993,0.0233630915220124,False
A003,A019,0.6423075758379468,5.722999999999997,0.0102119544853914,0.1633130989734527,0.0324534535109286,True
A003,A023,0.1335971332755647,0.2649999999999917,0.0759545327006653,0.0387150420774125,0.0214031429717523,False
A003,A026,0.5974060435360329,1.600999999999997,0.0625284457441436,0.0201603202414281,0.0126838135499867,False
A003,A027,0.339533187944788,6.041999999999991,0.0801097289347142,0.073230620550753,0.0234872796556869,True
A003,A046,0.4671182437751042,5.99,0.0530357343315538,0.0415596526687123,0.0244865233628756,True
A004,A012,0.3569439079874854,2.902000000000001,0.0343796481131547,0.0242807344889825,0.0012859394192787,False
A004,A023,0.8111370898550732,1.7360000000000042,0.0868405797101449,0.0616347826086956,0.0460521739130435,False
A004,A025,0.8958968347826044,5.125,0.0156289855072463,0.0488115942028985,0.0019246376811594,True
A004,A027,0.6052010351858499,4.040999999999995,0.0909957759441938,0.0503108800194698,0.0011617512856041,True
A004,A038,0.6905831884057889,2.7000000000000046,0.0456579710144927,0.0210782608695652,0.0117333333333334,False
A004,A046,0.4776159793555337,3.989000000000004,0.0639217813410334,0.0186399121374291,0.0001625075784155,True
A005,A008,0.7108989521753131,2.226500000000001,0.2576463768115942,0.0654156086538058,0.1093917060718917,True
A005,A013,0.9558657000013966,6.590500000000006,0.3333333333333333,0.0989924202480088,0.0491706127686879,True
A005,A015,0.3132767350266192,8.224500000000006,0.3304124369533295,0.1950266537920297,0.0565531576196104,True
A005,A017,0.3888163318854509,6.1455000000000055,0.2915710144927536,0.133311260827719,0.0228053953773835,True
A005,A021,0.3802002674050584,8.430500000000002,0.3333333333333333,0.1773768832897214,0.031062525983678,True
A005,A028,0.56621179565078,8.985500000000009,0.3333333333333333,0.2242098115523565,0.0525097432034705,True
A005,A036,0.3968674855086505,2.1285000000000043,0.1456927536231884,0.0742967680740958,0.1343656191153701,True
A005,A037,0.7345204014506663,1.203500000000011,0.1806376811594203,0.0550967680740958,0.1431772133182687,True
